
> trax-gui@0.0.1 preview
> vite preview

ERROR: Using default session secret key. This is not secure and should be changed in production.
ERROR: Using default admin password. This is not secure and should be changed in production.
2025-12-11T01:45:12.770Z [DEBUG] [TRAX]  Downloading https://gtfsrt.api.translink.com.au/GTFS/SEQ_GTFS.zip...
2025-12-11T01:50:13.070Z [DEBUG] [TRAX]  Successfully processed service M34T
2025-12-11T01:50:13.306Z [DEBUG] [TRAX]  Successfully processed service 994T
2025-12-11T01:50:13.744Z [DEBUG] [TRAX]  Successfully processed service J11T
2025-12-11T01:50:14.117Z [DEBUG] [TRAX]  Successfully processed service 992T
2025-12-11T01:50:14.348Z [DEBUG] [TRAX]  Successfully processed service 987T
2025-12-11T01:50:14.590Z [DEBUG] [TRAX]  Successfully processed service S86T
2025-12-11T01:50:14.782Z [DEBUG] [TRAX]  Successfully processed service 231T
2025-12-11T01:50:15.110Z [DEBUG] [TRAX]  Successfully processed service 301T
2025-12-11T01:50:15.271Z [DEBUG] [TRAX]  Successfully processed service K30T
2025-12-11T01:50:15.556Z [DEBUG] [TRAX]  Successfully processed service 985T
2025-12-11T01:50:15.723Z [DEBUG] [TRAX]  Successfully processed service C61T
2025-12-11T01:50:15.889Z [DEBUG] [TRAX]  Successfully processed service C65T
2025-12-11T01:50:15.889Z [DEBUG] [TRAX]  Loaded 15 QRT trains.
2025-12-11T01:50:15.889Z  [INFO] [TRAX]  Realtime GTFS cache refreshed incrementally.
2025-12-11T01:51:10.662Z [DEBUG] [TRAX]  Refreshing realtime GTFS cache...
2025-12-11T01:51:10.662Z [DEBUG] [TRAX]  Refreshing qrtTrains cache...
2025-12-11T01:51:10.664Z [DEBUG] [TRAX]  Loading realtime updates...
2025-12-11T01:51:10.825Z [DEBUG] [TRAX]  Loaded 1841 trip updates with 34449 stop time updates.
2025-12-11T01:51:10.826Z [DEBUG] [TRAX]  Loaded 1029 vehicle positions.
2025-12-11T01:51:10.826Z [DEBUG] [TRAX]  Found 1841 trips with realtime updates.
2025-12-11T01:51:10.835Z [DEBUG] [TRAX]  Re-augmenting updated trips...
2025-12-11T01:51:11.059Z [DEBUG] [TRAX]  Re-augmented 1841 trips.
2025-12-11T01:51:11.060Z [DEBUG] [TRAX]  Building augmented cache records for updated trips...
2025-12-11T01:51:12.060Z [DEBUG] [TRAX]  Successfully fetched 32 services
2025-12-11T01:51:13.386Z [DEBUG] [TRAX]  Successfully processed service C75T
2025-12-11T01:51:13.764Z [DEBUG] [TRAX]  Successfully processed service 972T
2025-12-11T01:51:13.968Z [DEBUG] [TRAX]  Successfully processed service 231T
2025-12-11T01:51:14.274Z [DEBUG] [TRAX]  Successfully processed service 992T
2025-12-11T01:51:14.565Z [DEBUG] [TRAX]  Successfully processed service 985T
2025-12-11T01:51:14.801Z [DEBUG] [TRAX]  Successfully processed service J11T
2025-12-11T01:51:15.044Z [DEBUG] [TRAX]  Successfully processed service S86T
2025-12-11T01:51:15.270Z [DEBUG] [TRAX]  Successfully processed service 994T
2025-12-11T01:51:15.434Z [DEBUG] [TRAX]  Successfully processed service K30T
2025-12-11T01:51:15.603Z [DEBUG] [TRAX]  Successfully processed service K32T
2025-12-11T01:51:15.930Z [DEBUG] [TRAX]  Successfully processed service 301T
2025-12-11T01:51:16.092Z [DEBUG] [TRAX]  Successfully processed service C65T
2025-12-11T01:51:16.258Z [DEBUG] [TRAX]  Successfully processed service C61T
2025-12-11T01:51:16.482Z [DEBUG] [TRAX]  Successfully processed service 987T
2025-12-11T01:51:16.689Z [DEBUG] [TRAX]  Successfully processed service M34T
2025-12-11T01:51:16.689Z [DEBUG] [TRAX]  Loaded 15 QRT trains.
2025-12-11T01:51:16.689Z  [INFO] [TRAX]  Realtime GTFS cache refreshed incrementally.
2025-12-11T01:52:09.724Z [DEBUG] [TRAX]  Refreshing realtime GTFS cache...
2025-12-11T01:52:09.725Z [DEBUG] [TRAX]  Refreshing qrtTrains cache...
2025-12-11T01:52:09.726Z [DEBUG] [TRAX]  Loading realtime updates...
2025-12-11T01:52:09.884Z [DEBUG] [TRAX]  Loaded 1824 trip updates with 34330 stop time updates.
2025-12-11T01:52:09.885Z [DEBUG] [TRAX]  Loaded 1026 vehicle positions.
2025-12-11T01:52:09.885Z [DEBUG] [TRAX]  Found 1824 trips with realtime updates.
2025-12-11T01:52:09.894Z [DEBUG] [TRAX]  Re-augmenting updated trips...
2025-12-11T01:52:10.114Z [DEBUG] [TRAX]  Re-augmented 1824 trips.
2025-12-11T01:52:10.114Z [DEBUG] [TRAX]  Building augmented cache records for updated trips...
2025-12-11T01:52:10.901Z [DEBUG] [TRAX]  Successfully fetched 32 services
2025-12-11T01:52:11.986Z [DEBUG] [TRAX]  Successfully processed service C75T
2025-12-11T01:52:12.334Z [DEBUG] [TRAX]  Successfully processed service 972T
2025-12-11T01:52:12.561Z [DEBUG] [TRAX]  Successfully processed service 987T
2025-12-11T01:52:12.813Z [DEBUG] [TRAX]  Successfully processed service J11T
2025-12-11T01:52:13.085Z [DEBUG] [TRAX]  Successfully processed service 992T
2025-12-11T01:52:13.283Z [DEBUG] [TRAX]  Successfully processed service M34T
2025-12-11T01:52:13.521Z [DEBUG] [TRAX]  Successfully processed service S86T
2025-12-11T01:52:13.728Z [DEBUG] [TRAX]  Successfully processed service K30T
2025-12-11T01:52:13.898Z [DEBUG] [TRAX]  Successfully processed service C65T
2025-12-11T01:52:14.054Z [DEBUG] [TRAX]  Successfully processed service C61T
2025-12-11T01:52:14.333Z [DEBUG] [TRAX]  Successfully processed service 985T
2025-12-11T01:52:14.656Z [DEBUG] [TRAX]  Successfully processed service 301T
2025-12-11T01:52:14.844Z [DEBUG] [TRAX]  Successfully processed service 231T
2025-12-11T01:52:15.051Z [DEBUG] [TRAX]  Successfully processed service 994T
2025-12-11T01:52:16.161Z [DEBUG] [TRAX]  Successfully processed service K32T
2025-12-11T01:52:16.161Z [DEBUG] [TRAX]  Loaded 15 QRT trains.
2025-12-11T01:52:16.161Z  [INFO] [TRAX]  Realtime GTFS cache refreshed incrementally.
2025-12-11T01:53:09.672Z [DEBUG] [TRAX]  Refreshing realtime GTFS cache...
2025-12-11T01:53:09.673Z [DEBUG] [TRAX]  Refreshing qrtTrains cache...
2025-12-11T01:53:09.675Z [DEBUG] [TRAX]  Loading realtime updates...
2025-12-11T01:53:09.836Z [DEBUG] [TRAX]  Loaded 1827 trip updates with 34370 stop time updates.
2025-12-11T01:53:09.836Z [DEBUG] [TRAX]  Loaded 1034 vehicle positions.
2025-12-11T01:53:09.837Z [DEBUG] [TRAX]  Found 1827 trips with realtime updates.
2025-12-11T01:53:09.845Z [DEBUG] [TRAX]  Re-augmenting updated trips...
2025-12-11T01:53:10.068Z [DEBUG] [TRAX]  Re-augmented 1827 trips.
2025-12-11T01:53:10.068Z [DEBUG] [TRAX]  Building augmented cache records for updated trips...
2025-12-11T01:53:10.737Z [DEBUG] [TRAX]  Successfully fetched 32 services
2025-12-11T01:53:12.784Z [DEBUG] [TRAX]  Successfully processed service C75T
2025-12-11T01:53:13.586Z [DEBUG] [TRAX]  Successfully processed service 972T
2025-12-11T01:53:13.749Z [DEBUG] [TRAX]  Successfully processed service C65T
2025-12-11T01:53:13.988Z [DEBUG] [TRAX]  Successfully processed service S86T
2025-12-11T01:53:14.208Z [DEBUG] [TRAX]  Successfully processed service 987T
2025-12-11T01:53:14.450Z [DEBUG] [TRAX]  Successfully processed service J11T
2025-12-11T01:53:14.665Z [DEBUG] [TRAX]  Successfully processed service 994T
2025-12-11T01:53:14.944Z [DEBUG] [TRAX]  Successfully processed service 992T
2025-12-11T01:53:15.274Z [DEBUG] [TRAX]  Successfully processed service 301T
2025-12-11T01:53:15.436Z [DEBUG] [TRAX]  Successfully processed service K32T
2025-12-11T01:53:15.640Z [DEBUG] [TRAX]  Successfully processed service M34T
2025-12-11T01:53:15.799Z [DEBUG] [TRAX]  Successfully processed service K30T
2025-12-11T01:53:15.963Z [DEBUG] [TRAX]  Successfully processed service C61T
2025-12-11T01:53:16.152Z [DEBUG] [TRAX]  Successfully processed service 231T
2025-12-11T01:53:16.430Z [DEBUG] [TRAX]  Successfully processed service 985T
2025-12-11T01:53:16.431Z [DEBUG] [TRAX]  Loaded 15 QRT trains.
2025-12-11T01:53:16.431Z  [INFO] [TRAX]  Realtime GTFS cache refreshed incrementally.
